,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.55454427
20,0.72819877
21,0.72819877
22,0.72819877
23,0.72819877
24,0.72819877
25,0.72819877
26,0.72819877
27,0.72819877
28,0.72819877
29,0.72819877
30,0.72819877
31,0.72819877
32,0.72819877
33,0.72819877
34,0.72819877
35,0.72819877
36,0.72819877
37,0.72819877
38,0.72819877
39,0.7476469
40,0.7485337
41,0.7485337
42,0.7485337
43,0.7485337
44,0.7485337
45,0.7485337
46,0.7485337
47,0.7485337
48,0.7485337
49,0.7485337
50,0.7485337
51,0.7485337
52,0.7485337
53,0.7485337
54,0.7485337
55,0.7485337
56,0.7485337
57,0.7485337
58,0.7324002
59,0.7064159
60,0.7064159
61,0.7064159
62,0.7064159
63,0.7064159
64,0.7064159
65,0.7064159
66,0.7064159
67,0.7064159
68,0.7064159
69,0.7064159
70,0.7064159
71,0.7064159
72,0.7064159
73,0.7064159
74,0.7064159
75,0.7064159
76,0.7064159
77,0.7064159
78,0.7450322
79,0.7498372
80,0.7498372
81,0.7498372
82,0.7498372
83,0.7498372
84,0.7498372
85,0.7498372
86,0.7498372
87,0.7498372
88,0.7498372
89,0.7498372
90,0.7498372
91,0.7498372
92,0.7498372
93,0.7498372
94,0.7498372
95,0.7498372
96,0.7498372
97,0.7113532
98,0.62167084
99,0.62167084
100,0.62167084
101,0.62167084
102,0.62167084
103,0.62167084
104,0.62167084
105,0.62167084
106,0.62167084
107,0.62167084
108,0.62167084
109,0.62167084
110,0.62167084
111,0.62167084
112,0.62167084
113,0.62167084
114,0.62167084
115,0.62167084
116,0.62167084
117,0.6269188
118,0.62792283
119,0.62792283
120,0.62792283
121,0.62792283
122,0.62792283
123,0.62792283
124,0.62792283
125,0.62792283
126,0.62792283
127,0.62792283
128,0.62792283
129,0.62792283
130,0.62792283
131,0.62792283
132,0.62792283
133,0.62792283
134,0.62792283
135,0.62792283
136,0.6294295
137,0.63257134
138,0.63257134
139,0.63257134
140,0.63257134
141,0.63257134
142,0.63257134
143,0.63257134
144,0.63257134
145,0.63257134
146,0.63257134
147,0.63257134
148,0.63257134
149,0.63257134
150,0.63257134
151,0.63257134
152,0.63257134
153,0.63257134
154,0.63257134
155,0.63257134
156,0.68789774
157,0.69859654
158,0.69859654
159,0.69859654
160,0.69859654
161,0.69859654
162,0.69859654
163,0.69859654
164,0.69859654
165,0.69859654
166,0.69859654
167,0.69859654
168,0.69859654
169,0.69859654
170,0.69859654
171,0.69859654
172,0.69859654
173,0.69859654
174,0.69859654
175,0.68868333
176,0.63257134
177,0.63257134
178,0.63257134
179,0.63257134
180,0.63257134
181,0.63257134
182,0.63257134
183,0.63257134
184,0.63257134
185,0.63257134
186,0.63257134
187,0.63257134
188,0.63257134
189,0.63257134
190,0.63257134
191,0.63257134
192,0.63257134
193,0.63257134
194,0.63257134
195,0.72570676
196,0.7627497
197,0.7627497
198,0.7627497
199,0.7627497
200,0.7627497
201,0.7627497
202,0.7627497
203,0.7627497
204,0.7627497
205,0.7627497
206,0.7627497
207,0.7627497
208,0.7627497
209,0.7627497
210,0.7627497
211,0.7627497
212,0.7627497
213,0.7627497
214,0.73682386
215,0.5844251
216,0.5844251
217,0.5844251
218,0.5844251
219,0.5844251
220,0.5844251
221,0.5844251
222,0.5844251
223,0.5844251
224,0.5844251
225,0.5844251
226,0.5844251
227,0.5844251
228,0.5844251
229,0.5844251
230,0.5844251
231,0.5844251
232,0.5844251
233,0.5844251
234,0.7082774
235,0.77055174
236,0.77055174
237,0.77055174
238,0.77055174
239,0.77055174
240,0.77055174
241,0.77055174
242,0.77055174
243,0.77055174
244,0.77055174
245,0.77055174
246,0.77055174
247,0.77055174
248,0.77055174
249,0.77055174
250,0.77055174
251,0.77055174
252,0.77055174
253,0.7827707
254,0.880424
255,0.880424
256,0.880424
257,0.880424
258,0.880424
259,0.880424
260,0.880424
261,0.880424
262,0.880424
263,0.880424
264,0.880424
265,0.880424
266,0.880424
267,0.880424
268,0.880424
269,0.880424
270,0.880424
271,0.880424
272,0.880424
273,0.75894606
274,0.65233207
275,0.65233207
276,0.65233207
277,0.65233207
278,0.65233207
279,0.65233207
280,0.65233207
281,0.65233207
282,0.65233207
283,0.65233207
284,0.65233207
285,0.65233207
286,0.65233207
287,0.65233207
288,0.65233207
289,0.65233207
290,0.65233207
291,0.65233207
292,0.65357095
293,0.68179446
294,0.68179446
295,0.68179446
296,0.68179446
297,0.68179446
298,0.68179446
299,0.68179446
300,0.68179446
301,0.68179446
302,0.68179446
303,0.68179446
304,0.68179446
305,0.68179446
306,0.68179446
307,0.68179446
308,0.68179446
309,0.68179446
310,0.68179446
311,0.68179446
312,0.7059134
313,0.72819877
314,0.72819877
315,0.72819877
316,0.72819877
317,0.72819877
318,0.72819877
319,0.72819877
320,0.72819877
321,0.72819877
322,0.72819877
323,0.72819877
324,0.72819877
325,0.72819877
326,0.72819877
327,0.72819877
328,0.72819877
329,0.72819877
330,0.72819877
331,0.72819877
332,0.7069972
333,0.7064159
334,0.7064159
335,0.7064159
336,0.7064159
337,0.7064159
338,0.7064159
339,0.7064159
340,0.7064159
341,0.7064159
342,0.7064159
343,0.7064159
344,0.7064159
345,0.7064159
346,0.7064159
347,0.7064159
348,0.7064159
349,0.7064159
350,0.7064159
351,0.73602736
352,0.7699178
353,0.7699178
354,0.7699178
355,0.7699178
356,0.7699178
357,0.7699178
358,0.7699178
359,0.7699178
360,0.7699178
361,0.7699178
362,0.7699178
363,0.7699178
364,0.7699178
365,0.7699178
366,0.7699178
367,0.7699178
368,0.7699178
369,0.7699178
370,0.7699178
371,0.7513426
372,0.7493487
373,0.7493487
374,0.7493487
375,0.7493487
376,0.7493487
377,0.7493487
378,0.7493487
379,0.7493487
380,0.7493487
381,0.7493487
382,0.7493487
383,0.7493487
384,0.7493487
385,0.7493487
386,0.7493487
387,0.7493487
388,0.7493487
389,0.7493487
390,0.82317764
391,0.9270248
392,0.9270248
393,0.9270248
394,0.9270248
395,0.9270248
396,0.9270248
397,0.9270248
398,0.9270248
399,0.9270248
400,0.9270248
401,0.9270248
402,0.9270248
403,0.9270248
404,0.9270248
405,0.9270248
406,0.9270248
407,0.9270248
408,0.9270248
409,0.9270248
410,0.762844
411,0.72886896
412,0.72886896
413,0.72886896
414,0.72886896
415,0.72886896
416,0.72886896
417,0.72886896
418,0.72886896
419,0.72886896
420,0.72886896
421,0.72886896
422,0.72886896
423,0.72886896
424,0.72886896
425,0.72886896
426,0.72886896
427,0.72886896
428,0.72886896
429,0.74232346
430,0.7691247
431,0.7691247
432,0.7691247
433,0.7691247
434,0.7691247
435,0.7691247
